"FetchDate","Team","Jersey","Name","Position","Height","Weight","URL"
"2019-12-01 00:00:00","New York Knicks","30","Julius Randle","Forward-Center","6 ft 8 in","250 lbs","https://www.nba.com/players/julius/randle/203944"
"2019-12-01 00:00:00","New York Knicks","23","Mitchell Robinson","Center-Forward","7 ft 0 in","240 lbs","https://www.nba.com/players/mitchell/robinson/1629011"
"2019-12-01 00:00:00","New York Knicks","5","Dennis Smith Jr.","Guard","6 ft 2 in","205 lbs","https://www.nba.com/players/dennis/smith_jr./1628372"
"2019-12-01 00:00:00","New York Knicks","14","Allonzo Trier","Guard","6 ft 4 in","200 lbs","https://www.nba.com/players/allonzo/trier/1629019"
"2019-12-01 00:00:00","Oklahoma City Thunder","12","Steven Adams","Center","6 ft 11 in","265 lbs","https://www.nba.com/players/steven/adams/203500"
"2019-12-01 00:00:00","Oklahoma City Thunder","7","Darius Bazley","Forward-Guard","6 ft 8 in","208 lbs","https://www.nba.com/players/darius/bazley/1629647"
"2019-12-01 00:00:00","Oklahoma City Thunder","30","Deonte Burton","Guard-Forward","6 ft 4 in","240 lbs","https://www.nba.com/players/deonte/burton/1629126"
"2019-12-01 00:00:00","Oklahoma City Thunder","6","Hamidou Diallo","Guard","6 ft 5 in","202 lbs","https://www.nba.com/players/hamidou/diallo/1628977"
"2019-12-01 00:00:00","Oklahoma City Thunder","5","Luguentz Dort","Guard","6 ft 3 in","215 lbs","https://www.nba.com/players/luguentz/dort/1629652"
"2019-12-01 00:00:00","Oklahoma City Thunder","23","Terrance Ferguson","Guard","6 ft 6 in","190 lbs","https://www.nba.com/players/terrance/ferguson/1628390"
"2019-12-01 00:00:00","Oklahoma City Thunder","8","Danilo Gallinari","Forward","6 ft 10 in","233 lbs","https://www.nba.com/players/danilo/gallinari/201568"
"2019-12-01 00:00:00","Oklahoma City Thunder","2","Shai Gilgeous-Alexander","Guard-Forward","6 ft 5 in","180 lbs","https://www.nba.com/players/shai/gilgeous-alexander/1628983"
"2019-12-01 00:00:00","Oklahoma City Thunder","22","Devon Hall","Guard","6 ft 2 in","215 lbs","https://www.nba.com/players/devon/hall/1628985"
"2019-12-01 00:00:00","Oklahoma City Thunder","33","Mike Muscala","Forward-Center","6 ft 10 in","240 lbs","https://www.nba.com/players/mike/muscala/203488"
"2019-12-01 00:00:00","Oklahoma City Thunder","11","Abdel Nader","Forward","6 ft 5 in","225 lbs","https://www.nba.com/players/abdel/nader/1627846"
"2019-12-01 00:00:00","Oklahoma City Thunder","9","Nerlens Noel","Center-Forward","6 ft 10 in","220 lbs","https://www.nba.com/players/nerlens/noel/203457"
"2019-12-01 00:00:00","Oklahoma City Thunder","13","Justin Patton","Center","6 ft 11 in","241 lbs","https://www.nba.com/players/justin/patton/1628383"
"2019-12-01 00:00:00","Oklahoma City Thunder","3","Chris Paul","Guard","6 ft 1 in","175 lbs","https://www.nba.com/players/chris/paul/101108"
"2019-12-01 00:00:00","Oklahoma City Thunder","21","Andre Roberson","Guard-Forward","6 ft 7 in","210 lbs","https://www.nba.com/players/andre/roberson/203460"
"2019-12-01 00:00:00","Oklahoma City Thunder","17","Dennis Schroder","Guard","6 ft 1 in","172 lbs","https://www.nba.com/players/dennis/schroder/203471"
"2019-12-01 00:00:00","Orlando Magic","2","Al-Farouq Aminu","Forward","6 ft 8 in","220 lbs","https://www.nba.com/players/al-farouq/aminu/202329"
"2019-12-01 00:00:00","Orlando Magic","14","D.J. Augustin","Guard","5 ft 11 in","183 lbs","https://www.nba.com/players/d.j./augustin/201571"
"2019-12-01 00:00:00","Orlando Magic","5","Mo Bamba","Center","7 ft 0 in","231 lbs","https://www.nba.com/players/mo/bamba/1628964"
"2019-12-01 00:00:00","Orlando Magic","24","Khem Birch","Center","6 ft 9 in","233 lbs","https://www.nba.com/players/khem/birch/203920"
"2019-12-01 00:00:00","Orlando Magic","7","Michael Carter-Williams","Guard","6 ft 5 in","190 lbs","https://www.nba.com/players/michael/carter-williams/203487"
"2019-12-01 00:00:00","Orlando Magic","10","Evan Fournier","Guard-Forward","6 ft 7 in","205 lbs","https://www.nba.com/players/evan/fournier/203095"
"2019-12-01 00:00:00","Orlando Magic","35","Melvin Frazier Jr.","Guard-Forward","6 ft 5 in","215 lbs","https://www.nba.com/players/melvin/frazier_jr./1628982"
"2019-12-01 00:00:00","Orlando Magic","20","Markelle Fultz","Guard","6 ft 3 in","209 lbs","https://www.nba.com/players/markelle/fultz/1628365"
"2019-12-01 00:00:00","Orlando Magic","00","Aaron Gordon","Forward","6 ft 8 in","235 lbs","https://www.nba.com/players/aaron/gordon/203932"
"2019-12-01 00:00:00","Orlando Magic","1","Jonathan Isaac","Forward","6 ft 11 in","230 lbs","https://www.nba.com/players/jonathan/isaac/1628371"
"2019-12-01 00:00:00","Orlando Magic","25","Wes Iwundu","Forward","6 ft 6 in","195 lbs","https://www.nba.com/players/wes/iwundu/1628411"
"2019-12-01 00:00:00","Orlando Magic","11","Amile Jefferson","Forward","6 ft 9 in","222 lbs","https://www.nba.com/players/amile/jefferson/1628518"
"2019-12-01 00:00:00","Orlando Magic","13","BJ Johnson","Forward","6 ft 7 in","200 lbs","https://www.nba.com/players/bj/johnson/1629168"
"2019-12-01 00:00:00","Orlando Magic","4","Josh Magette","Guard","6 ft 1 in","160 lbs","https://www.nba.com/players/josh/magette/203705"
"2019-12-01 00:00:00","Orlando Magic","8","Terrence Ross","Guard-Forward","6 ft 6 in","206 lbs","https://www.nba.com/players/terrence/ross/203082"
"2019-12-01 00:00:00","Orlando Magic","9","Nikola Vucevic","Center","6 ft 11 in","260 lbs","https://www.nba.com/players/nikola/vucevic/202696"
"2019-12-01 00:00:00","Philadelphia 76ers","43","Jonah Bolden","Forward","6 ft 8 in","225 lbs","https://www.nba.com/players/jonah/bolden/1628413"
"2019-12-01 00:00:00","Philadelphia 76ers","23","Trey Burke","Guard","6 ft 0 in","185 lbs","https://www.nba.com/players/trey/burke/203504"
"2019-12-01 00:00:00","Philadelphia 76ers","21","Joel Embiid","Center-Forward","7 ft 0 in","280 lbs","https://www.nba.com/players/joel/embiid/203954"
"2019-12-01 00:00:00","Philadelphia 76ers","11","James Ennis III","Forward","6 ft 6 in","215 lbs","https://www.nba.com/players/james/ennis_iii/203516"
"2019-12-01 00:00:00","Philadelphia 76ers","12","Tobias Harris","Forward","6 ft 8 in","226 lbs","https://www.nba.com/players/tobias/harris/202699"
"2019-12-01 00:00:00","Philadelphia 76ers","42","Al Horford","Center-Forward","6 ft 9 in","240 lbs","https://www.nba.com/players/al/horford/201143"
"2019-12-01 00:00:00","Philadelphia 76ers","30","Furkan Korkmaz","Guard-Forward","6 ft 7 in","202 lbs","https://www.nba.com/players/furkan/korkmaz/1627788"
"2019-12-01 00:00:00","Philadelphia 76ers","18","Shake Milton","Guard-Forward","6 ft 5 in","205 lbs","https://www.nba.com/players/shake/milton/1629003"
"2019-12-01 00:00:00","Philadelphia 76ers","19","Raul Neto","Guard","6 ft 1 in","180 lbs","https://www.nba.com/players/raul/neto/203526"
"2019-12-01 00:00:00","Philadelphia 76ers","9","Kyle O'Quinn","Center-Forward","6 ft 9 in","250 lbs","https://www.nba.com/players/kyle/o'quinn/203124"
"2019-12-01 00:00:00","Philadelphia 76ers","14","Norvel Pelle","Forward","6 ft 10 in","231 lbs","https://www.nba.com/players/norvel/pelle/203658"
"2019-12-01 00:00:00","Philadelphia 76ers","0","Josh Richardson","Guard","6 ft 5 in","200 lbs","https://www.nba.com/players/josh/richardson/1626196"
"2019-12-01 00:00:00","Philadelphia 76ers","1","Mike Scott","Forward","6 ft 7 in","237 lbs","https://www.nba.com/players/mike/scott/203118"
"2019-12-01 00:00:00","Philadelphia 76ers","35","Marial Shayok","Guard-Forward","6 ft 5 in","198 lbs","https://www.nba.com/players/marial/shayok/1629621"
"2019-12-01 00:00:00","Philadelphia 76ers","25","Ben Simmons","Guard-Forward","6 ft 10 in","240 lbs","https://www.nba.com/players/ben/simmons/1627732"
"2019-12-01 00:00:00","Philadelphia 76ers","8","Zhaire Smith","Guard","6 ft 3 in","205 lbs","https://www.nba.com/players/zhaire/smith/1629015"
"2019-12-01 00:00:00","Philadelphia 76ers","22","Matisse Thybulle","Guard-Forward","6 ft 5 in","201 lbs","https://www.nba.com/players/matisse/thybulle/1629680"
"2019-12-01 00:00:00","Phoenix Suns","22","Deandre Ayton","Center","6 ft 11 in","250 lbs","https://www.nba.com/players/deandre/ayton/1629028"
"2019-12-01 00:00:00","Phoenix Suns","46","Aron Baynes","Center-Forward","6 ft 10 in","260 lbs","https://www.nba.com/players/aron/baynes/203382"
"2019-12-01 00:00:00","Phoenix Suns","1","Devin Booker","Guard","6 ft 5 in","206 lbs","https://www.nba.com/players/devin/booker/1626164"
"2019-12-01 00:00:00","Phoenix Suns","25","Mikal Bridges","Forward","6 ft 6 in","209 lbs","https://www.nba.com/players/mikal/bridges/1628969"
"2019-12-01 00:00:00","Phoenix Suns","4","Jevon Carter","Guard","6 ft 1 in","200 lbs","https://www.nba.com/players/jevon/carter/1628975"
"2019-12-01 00:00:00","Phoenix Suns","14","Cheick Diallo","Forward-Center","6 ft 8 in","219 lbs","https://www.nba.com/players/cheick/diallo/1627767"
"2019-12-01 00:00:00","Phoenix Suns","12","Jared Harper","Guard","5 ft 11 in","175 lbs","https://www.nba.com/players/jared/harper/1629607"
"2019-12-01 00:00:00","Phoenix Suns","10","Ty Jerome","Guard-Forward","6 ft 5 in","195 lbs","https://www.nba.com/players/ty/jerome/1629660"
"2019-12-01 00:00:00","Phoenix Suns","23","Cameron Johnson","Forward","6 ft 8 in","210 lbs","https://www.nba.com/players/cameron/johnson/1629661"
"2019-12-01 00:00:00","Phoenix Suns","16","Tyler Johnson","Guard","6 ft 3 in","186 lbs","https://www.nba.com/players/tyler/johnson/204020"
"2019-12-01 00:00:00","Phoenix Suns","8","Frank Kaminsky","Forward-Center","7 ft 0 in","240 lbs","https://www.nba.com/players/frank/kaminsky/1626163"
"2019-12-01 00:00:00","Phoenix Suns","0","Jalen Lecque","Guard","6 ft 4 in","185 lbs","https://www.nba.com/players/jalen/lecque/1629665"
"2019-12-01 00:00:00","Phoenix Suns","2","Elie Okobo","Forward-Guard","6 ft 3 in","190 lbs","https://www.nba.com/players/elie/okobo/1629059"
"2019-12-01 00:00:00","Phoenix Suns","3","Kelly Oubre Jr.","Forward-Guard","6 ft 7 in","203 lbs","https://www.nba.com/players/kelly/oubre_jr./1626162"
"2019-12-01 00:00:00","Phoenix Suns","11","Ricky Rubio","Guard","6 ft 3 in","190 lbs","https://www.nba.com/players/ricky/rubio/201937"
"2019-12-01 00:00:00","Phoenix Suns","20","Dario Saric","Forward","6 ft 10 in","225 lbs","https://www.nba.com/players/dario/saric/203967"
"2019-12-01 00:00:00","Portland Trail Blazers","00","Carmelo Anthony","Forward","6 ft 8 in","238 lbs","https://www.nba.com/players/carmelo/anthony/2546"
"2019-12-01 00:00:00","Portland Trail Blazers","24","Kent Bazemore","Guard-Forward","6 ft 4 in","195 lbs","https://www.nba.com/players/kent/bazemore/203145"
"2019-12-01 00:00:00","Portland Trail Blazers","4","Moses Brown","Center","7 ft 2 in","245 lbs","https://www.nba.com/players/moses/brown/1629650"
"2019-12-01 00:00:00","Portland Trail Blazers","33","Zach Collins","Forward-Center","6 ft 11 in","250 lbs","https://www.nba.com/players/zach/collins/1628380"
"2019-12-01 00:00:00","Portland Trail Blazers","44","Mario Hezonja","Forward-Guard","6 ft 8 in","220 lbs","https://www.nba.com/players/mario/hezonja/1626209"
"2019-12-01 00:00:00","Portland Trail Blazers","6","Jaylen Hoard","Forward","6 ft 8 in","216 lbs","https://www.nba.com/players/jaylen/hoard/1629658"
"2019-12-01 00:00:00","Portland Trail Blazers","5","Rodney Hood","Guard-Forward","6 ft 8 in","208 lbs","https://www.nba.com/players/rodney/hood/203918"
"2019-12-01 00:00:00","Portland Trail Blazers","17","Skal Labissiere","Forward-Center","6 ft 10 in","235 lbs","https://www.nba.com/players/skal/labissiere/1627746"
"2019-12-01 00:00:00","Portland Trail Blazers","0","Damian Lillard","Guard","6 ft 2 in","195 lbs","https://www.nba.com/players/damian/lillard/203081"
"2019-12-01 00:00:00","Portland Trail Blazers","9","Nassir Little","Forward-Guard","6 ft 5 in","220 lbs","https://www.nba.com/players/nassir/little/1629642"
"2019-12-01 00:00:00","Portland Trail Blazers","3","CJ McCollum","Guard","6 ft 3 in","190 lbs","https://www.nba.com/players/cj/mccollum/203468"
"2019-12-01 00:00:00","Portland Trail Blazers","27","Jusuf Nurkic","Center","7 ft 0 in","290 lbs","https://www.nba.com/players/jusuf/nurkic/203994"
"2019-12-01 00:00:00","Portland Trail Blazers","1","Anfernee Simons","Guard","6 ft 3 in","181 lbs","https://www.nba.com/players/anfernee/simons/1629014"
"2019-12-01 00:00:00","Portland Trail Blazers","43","Anthony Tolliver","Forward","6 ft 8 in","240 lbs","https://www.nba.com/players/anthony/tolliver/201229"
"2019-12-01 00:00:00","Portland Trail Blazers","2","Gary Trent Jr.","Guard-Forward","6 ft 5 in","209 lbs","https://www.nba.com/players/gary/trent_jr./1629018"
"2019-12-01 00:00:00","Portland Trail Blazers","21","Hassan Whiteside","Center","7 ft 0 in","265 lbs","https://www.nba.com/players/hassan/whiteside/202355"
"2019-12-01 00:00:00","Sacramento Kings","0","Trevor Ariza","Forward","6 ft 8 in","215 lbs","https://www.nba.com/players/trevor/ariza/2772"
"2019-12-01 00:00:00","Sacramento Kings","35","Marvin Bagley III","Forward","6 ft 11 in","235 lbs","https://www.nba.com/players/marvin/bagley_iii/1628963"
"2019-12-01 00:00:00","Sacramento Kings","40","Harrison Barnes","Forward","6 ft 8 in","225 lbs","https://www.nba.com/players/harrison/barnes/203084"
"2019-12-01 00:00:00","Sacramento Kings","88","Nemanja Bjelica","Forward","6 ft 10 in","234 lbs","https://www.nba.com/players/nemanja/bjelica/202357"
"2019-12-01 00:00:00","Sacramento Kings","8","Bogdan Bogdanovic","Guard","6 ft 6 in","220 lbs","https://www.nba.com/players/bogdan/bogdanovic/203992"
"2019-12-01 00:00:00","Sacramento Kings","13","Dewayne Dedmon","Center","7 ft 0 in","245 lbs","https://www.nba.com/players/dewayne/dedmon/203473"
"2019-12-01 00:00:00","Sacramento Kings","3","Yogi Ferrell","Guard","6 ft 0 in","178 lbs","https://www.nba.com/players/yogi/ferrell/1627812"
"2019-12-01 00:00:00","Sacramento Kings","5","De'Aaron Fox","Guard","6 ft 3 in","185 lbs","https://www.nba.com/players/de'aaron/fox/1628368"
"2019-12-01 00:00:00","Sacramento Kings","32","Wenyen Gabriel","Forward","6 ft 9 in","205 lbs","https://www.nba.com/players/wenyen/gabriel/1629117"
"2019-12-01 00:00:00","Sacramento Kings","20","Harry Giles III","Forward-Center","6 ft 11 in","240 lbs","https://www.nba.com/players/harry/giles_iii/1628385"
"2019-12-01 00:00:00","Sacramento Kings","7","Kyle Guy","Guard","6 ft 1 in","167 lbs","https://www.nba.com/players/kyle/guy/1629657"
"2019-12-01 00:00:00","Sacramento Kings","24","Buddy Hield","Guard","6 ft 4 in","220 lbs","https://www.nba.com/players/buddy/hield/1627741"
"2019-12-01 00:00:00","Sacramento Kings","22","Richaun Holmes","Forward","6 ft 10 in","235 lbs","https://www.nba.com/players/richaun/holmes/1626158"
"2019-12-01 00:00:00","Sacramento Kings","10","Justin James","Guard-Forward","6 ft 7 in","190 lbs","https://www.nba.com/players/justin/james/1629713"
"2019-12-01 00:00:00","Sacramento Kings","19","DaQuan Jeffries","Guard-Forward","6 ft 5 in","230 lbs","https://www.nba.com/players/daquan/jeffries/1629610"
"2019-12-01 00:00:00","Sacramento Kings","9","Cory Joseph","Guard","6 ft 3 in","200 lbs","https://www.nba.com/players/cory/joseph/202709"
"2019-12-01 00:00:00","Sacramento Kings","50","Caleb Swanigan","Forward","6 ft 9 in","260 lbs","https://www.nba.com/players/caleb/swanigan/1628403"
"2019-12-01 00:00:00","San Antonio Spurs","12","LaMarcus Aldridge","Center-Forward","6 ft 11 in","250 lbs","https://www.nba.com/players/lamarcus/aldridge/200746"
"2019-12-01 00:00:00","San Antonio Spurs","18","Marco Belinelli","Guard","6 ft 5 in","220 lbs","https://www.nba.com/players/marco/belinelli/201158"
"2019-12-01 00:00:00","San Antonio Spurs","77","DeMarre Carroll","Forward","6 ft 6 in","215 lbs","https://www.nba.com/players/demarre/carroll/201960"
"2019-12-01 00:00:00","San Antonio Spurs","10","DeMar DeRozan","Guard-Forward","6 ft 6 in","220 lbs","https://www.nba.com/players/demar/derozan/201942"
"2019-12-01 00:00:00","San Antonio Spurs","14","Drew Eubanks","Forward-Center","6 ft 9 in","245 lbs","https://www.nba.com/players/drew/eubanks/1629234"
"2019-12-01 00:00:00","San Antonio Spurs","11","Bryn Forbes","Guard","6 ft 2 in","205 lbs","https://www.nba.com/players/bryn/forbes/1627854"
"2019-12-01 00:00:00","San Antonio Spurs","22","Rudy Gay","Forward-Guard","6 ft 8 in","250 lbs","https://www.nba.com/players/rudy/gay/200752"
"2019-12-01 00:00:00","San Antonio Spurs","3","Keldon Johnson","Forward-Guard","6 ft 5 in","220 lbs","https://www.nba.com/players/keldon/johnson/1629640"
"2019-12-01 00:00:00","San Antonio Spurs","41","Trey Lyles","Forward","6 ft 9 in","234 lbs","https://www.nba.com/players/trey/lyles/1626168"
"2019-12-01 00:00:00","San Antonio Spurs","7","Chimezie Metu","Forward-Center","6 ft 9 in","225 lbs","https://www.nba.com/players/chimezie/metu/1629002"
"2019-12-01 00:00:00","San Antonio Spurs","8","Patty Mills","Guard","6 ft 1 in","180 lbs","https://www.nba.com/players/patty/mills/201988"
"2019-12-01 00:00:00","San Antonio Spurs","5","Dejounte Murray","Guard","6 ft 4 in","180 lbs","https://www.nba.com/players/dejounte/murray/1627749"
"2019-12-01 00:00:00","San Antonio Spurs","25","Jakob Poeltl","Center","7 ft 1 in","245 lbs","https://www.nba.com/players/jakob/poeltl/1627751"
"2019-12-01 00:00:00","San Antonio Spurs","19","Luka Samanic","Forward","6 ft 10 in","227 lbs","https://www.nba.com/players/luka/samanic/1629677"
"2019-12-01 00:00:00","San Antonio Spurs","1","Lonnie Walker IV","Guard-Forward","6 ft 5 in","204 lbs","https://www.nba.com/players/lonnie/walker_iv/1629022"
"2019-12-01 00:00:00","San Antonio Spurs","15","Quinndary Weatherspoon","Guard","6 ft 3 in","205 lbs","https://www.nba.com/players/quinndary/weatherspoon/1629683"
"2019-12-01 00:00:00","San Antonio Spurs","4","Derrick White","Guard","6 ft 4 in","190 lbs","https://www.nba.com/players/derrick/white/1628401"
"2019-12-01 00:00:00","Toronto Raptors","3","OG Anunoby","Forward","6 ft 7 in","232 lbs","https://www.nba.com/players/og/anunoby/1628384"
"2019-12-01 00:00:00","Toronto Raptors","25","Chris Boucher","Forward-Center","6 ft 9 in","200 lbs","https://www.nba.com/players/chris/boucher/1628449"
"2019-12-01 00:00:00","Toronto Raptors","12","Oshae Brissett","Forward-Guard","6 ft 7 in","210 lbs","https://www.nba.com/players/oshae/brissett/1629052"
"2019-12-01 00:00:00","Toronto Raptors","0","Terence Davis","Guard","6 ft 4 in","201 lbs","https://www.nba.com/players/terence/davis/1629056"
"2019-12-01 00:00:00","Toronto Raptors","33","Marc Gasol","Center","6 ft 11 in","255 lbs","https://www.nba.com/players/marc/gasol/201188"
"2019-12-01 00:00:00","Toronto Raptors","20","Dewan Hernandez","Center-Forward","6 ft 10 in","235 lbs","https://www.nba.com/players/dewan/hernandez/1629608"
"2019-12-01 00:00:00","Toronto Raptors","4","Rondae Hollis-Jefferson","Forward","6 ft 6 in","217 lbs","https://www.nba.com/players/rondae/hollis-jefferson/1626178"
"2019-12-01 00:00:00","Toronto Raptors","9","Serge Ibaka","Forward","7 ft 0 in","235 lbs","https://www.nba.com/players/serge/ibaka/201586"
"2019-12-01 00:00:00","Toronto Raptors","5","Stanley Johnson","Forward-Guard","6 ft 6 in","242 lbs","https://www.nba.com/players/stanley/johnson/1626169"
"2019-12-01 00:00:00","Toronto Raptors","7","Kyle Lowry","Guard","6 ft 0 in","196 lbs","https://www.nba.com/players/kyle/lowry/200768"
"2019-12-01 00:00:00","Toronto Raptors","22","Patrick McCaw","Guard","6 ft 7 in","181 lbs","https://www.nba.com/players/patrick/mccaw/1627775"
"2019-12-01 00:00:00","Toronto Raptors","13","Malcolm Miller","Guard-Forward","6 ft 7 in","210 lbs","https://www.nba.com/players/malcolm/miller/1626259"
"2019-12-01 00:00:00","Toronto Raptors","11","Shamorie Ponds","Guard","6 ft 0 in","175 lbs","https://www.nba.com/players/shamorie/ponds/1629044"
"2019-12-01 00:00:00","Toronto Raptors","24","Norman Powell","Guard","6 ft 3 in","215 lbs","https://www.nba.com/players/norman/powell/1626181"
"2019-12-01 00:00:00","Toronto Raptors","43","Pascal Siakam","Forward","6 ft 9 in","230 lbs","https://www.nba.com/players/pascal/siakam/1627783"
"2019-12-01 00:00:00","Toronto Raptors","21","Matt Thomas","Guard","6 ft 4 in","190 lbs","https://www.nba.com/players/matt/thomas/1629744"
"2019-12-01 00:00:00","Toronto Raptors","23","Fred VanVleet","Guard","6 ft 1 in","197 lbs","https://www.nba.com/players/fred/vanvleet/1627832"
"2019-12-01 00:00:00","Utah Jazz","44","Bojan Bogdanovic","Forward","6 ft 8 in","226 lbs","https://www.nba.com/players/bojan/bogdanovic/202711"
"2019-12-01 00:00:00","Utah Jazz","13","Tony Bradley","Center-Forward","6 ft 10 in","248 lbs","https://www.nba.com/players/tony/bradley/1628396"
"2019-12-01 00:00:00","Utah Jazz","5","Jarrell Brantley","Forward","6 ft 5 in","250 lbs","https://www.nba.com/players/jarrell/brantley/1629714"
"2019-12-01 00:00:00","Utah Jazz","10","Mike Conley","Guard","6 ft 1 in","175 lbs","https://www.nba.com/players/mike/conley/201144"
"2019-12-01 00:00:00","Utah Jazz","17","Ed Davis","Center-Forward","6 ft 9 in","218 lbs","https://www.nba.com/players/ed/davis/202334"
"2019-12-01 00:00:00","Utah Jazz","11","Dante Exum","Guard","6 ft 5 in","214 lbs","https://www.nba.com/players/dante/exum/203957"
"2019-12-01 00:00:00","Utah Jazz","27","Rudy Gobert","Center","7 ft 1 in","258 lbs","https://www.nba.com/players/rudy/gobert/203497"
"2019-12-01 00:00:00","Utah Jazz","22","Jeff Green","Forward","6 ft 8 in","235 lbs","https://www.nba.com/players/jeff/green/201145"
"2019-12-01 00:00:00","Utah Jazz","2","Joe Ingles","Forward-Guard","6 ft 7 in","220 lbs","https://www.nba.com/players/joe/ingles/204060"
"2019-12-01 00:00:00","Utah Jazz","45","Donovan Mitchell","Guard","6 ft 1 in","215 lbs","https://www.nba.com/players/donovan/mitchell/1628378"
"2019-12-01 00:00:00","Utah Jazz","16","Juwan Morgan","Forward","6 ft 7 in","232 lbs","https://www.nba.com/players/juwan/morgan/1629752"
"2019-12-01 00:00:00","Utah Jazz","8","Emmanuel Mudiay","Guard","6 ft 3 in","200 lbs","https://www.nba.com/players/emmanuel/mudiay/1626144"
"2019-12-01 00:00:00","Utah Jazz","31","Georges Niang","Forward","6 ft 7 in","230 lbs","https://www.nba.com/players/georges/niang/1627777"
"2019-12-01 00:00:00","Utah Jazz","23","Royce O'Neale","Forward","6 ft 4 in","226 lbs","https://www.nba.com/players/royce/o'neale/1626220"
"2019-12-01 00:00:00","Utah Jazz","24","Miye Oni","Guard-Forward","6 ft 5 in","206 lbs","https://www.nba.com/players/miye/oni/1629671"
"2019-12-01 00:00:00","Utah Jazz","0","Nigel Williams-Goss","Guard","6 ft 2 in","190 lbs","https://www.nba.com/players/nigel/williams-goss/1628430"
"2019-12-01 00:00:00","Utah Jazz","3","Justin Wright-Foreman","Guard","6 ft 0 in","190 lbs","https://www.nba.com/players/justin/wright-foreman/1629625"
"2019-12-01 00:00:00","Washington Wizards","3","Bradley Beal","Guard","6 ft 3 in","207 lbs","https://www.nba.com/players/bradley/beal/203078"
"2019-12-01 00:00:00","Washington Wizards","42","Davis Bertans","Forward","6 ft 10 in","225 lbs","https://www.nba.com/players/davis/bertans/202722"
"2019-12-01 00:00:00","Washington Wizards","17","Isaac Bonga","Guard","6 ft 8 in","180 lbs","https://www.nba.com/players/isaac/bonga/1629067"
"2019-12-01 00:00:00","Washington Wizards","6","Troy Brown Jr.","Guard-Forward","6 ft 6 in","215 lbs","https://www.nba.com/players/troy/brown_jr./1628972"
"2019-12-01 00:00:00","Washington Wizards","13","Thomas Bryant","Center-Forward","6 ft 10 in","248 lbs","https://www.nba.com/players/thomas/bryant/1628418"
"2019-12-01 00:00:00","Washington Wizards","9","Chris Chiozza","Guard","5 ft 11 in","175 lbs","https://www.nba.com/players/chris/chiozza/1629185"
"2019-12-01 00:00:00","Washington Wizards","8","Rui Hachimura","Forward","6 ft 8 in","230 lbs","https://www.nba.com/players/rui/hachimura/1629060"
"2019-12-01 00:00:00","Washington Wizards","28","Ian Mahinmi","Center","6 ft 11 in","262 lbs","https://www.nba.com/players/ian/mahinmi/101133"
"2019-12-01 00:00:00","Washington Wizards","24","Garrison Mathews","Guard","6 ft 5 in","215 lbs","https://www.nba.com/players/garrison/mathews/1629726"
"2019-12-01 00:00:00","Washington Wizards","52","Jordan McRae","Guard","6 ft 5 in","179 lbs","https://www.nba.com/players/jordan/mcrae/203895"
"2019-12-01 00:00:00","Washington Wizards","34","CJ Miles","Guard","6 ft 6 in","220 lbs","https://www.nba.com/players/cj/miles/101139"
"2019-12-01 00:00:00","Washington Wizards","5","Justin Robinson","Guard","6 ft 1 in","195 lbs","https://www.nba.com/players/justin/robinson/1629620"
"2019-12-01 00:00:00","Washington Wizards","1","Admiral Schofield","Guard-Forward","6 ft 5 in","241 lbs","https://www.nba.com/players/admiral/schofield/1629678"
"2019-12-01 00:00:00","Washington Wizards","14","Ish Smith","Guard","6 ft 0 in","175 lbs","https://www.nba.com/players/ish/smith/202397"
"2019-12-01 00:00:00","Washington Wizards","4","Isaiah Thomas","Guard","5 ft 9 in","185 lbs","https://www.nba.com/players/isaiah/thomas/202738"
"2019-12-01 00:00:00","Washington Wizards","21","Moritz Wagner","Forward-Center","6 ft 11 in","245 lbs","https://www.nba.com/players/moritz/wagner/1629021"
"2019-12-01 00:00:00","Washington Wizards","2","John Wall","Guard","6 ft 4 in","210 lbs","https://www.nba.com/players/john/wall/202322"
